Identifier,Insecurity,Start_date,End_date,Number _of_deaths,State
IBD030450,"Flooding/Building Collapse, Jigawa",11/8/2024,11/8/2024,2,Jigawa
IBD030465,"Banditry, Kaduna",11/8/2024,11/8/2024,1,Kaduna
IBD030462,"Cult Clash, Ogun",11/8/2024,11/8/2024,1,Ogun
IBD030485,"Flooding Kills 1, Jigawa",11/8/2024,11/8/2024,2,Jigawa
IBD030497,"Flooding, Jigawa",11/8/2024,11/8/2024,1,Jigawa
IBD030424,"Auto Crash, Abia",11/8/2024,11/8/2024,7,Abia
IBD030475,"Gunmen Kill 1, Benue",11/8/2024,11/8/2024,1,Benue
IBD030494,"Flooding, Jigawa",11/8/2024,12/8/2024,1,Jigawa
IBD030495,"Flooding, Jigawa",11/8/2024,12/8/2024,1,Jigawa
IBD030441,"Boat Mishap, Sokoto",11/8/2024,11/8/2024,12,Sokoto
IBD030489,"Flooding, Jigawa",11/8/2024,11/8/2024,1,Jigawa
IBD030459,"Auto Crash, Ekiti",11/8/2024,11/8/2024,1,Ekiti
IBD030480,"Ritual Killing, Oyo",11/8/2024,11/8/2024,1,Oyo
IBD030493,"Flooding, Jigawa",11/8/2024,11/8/2024,1,Jigawa
IBD030482,"Hunters vs Thief, Yobe",11/8/2024,11/8/2024,2,Yobe
IBD030455,"Banditry, Niger",11/8/2024,11/8/2024,1,Niger
IBD030483,"Mob vs Motorcycle Thief, FCT (Abuja)",11/8/2024,11/8/2024,1,FCT
IBD030440,"Four Die, Imo",10/8/2024,10/8/2024,4,Imo
IBD030449,"Herders vs Farmer, Ondo",10/8/2024,10/8/2024,1,Ondo
IBD030506,"Banditry, Kaduna",10/8/2024,10/8/2024,1,Kaduna
IBD030443,"Bandit vs Army, Sokoto",10/8/2024,10/8/2024,4,Sokoto
IBD030447,"Drown, Jigawa",10/8/2024,10/8/2024,3,Jigawa
IBD030445,"Food Poisoning, Sokoto",10/8/2024,10/8/2024,7,Sokoto
IBD030446,"Ritual Killing, Oyo",10/8/2024,10/8/2024,1,Oyo
IBD030536,"Ritual Killing, Kwara",9/8/2024,9/8/2024,1,Kwara
IBD030461,"Hoodlums Clash, Niger",9/8/2024,9/8/2024,3,Niger
IBD030429,"Auto Crash, Kaduna",9/8/2024,9/8/2024,11,Kaduna
IBD030442,"Cult Killing, Ogun",9/8/2024,9/8/2024,2,Ogun
IBD030432,"Gunmen vs Humanitarian Worker, Benue",9/8/2024,9/8/2024,1,Benue
IBD030430,"Gunmen vs Police, Anambra",9/8/2024,9/8/2024,1,Anambra
IBD030416,"Gunmen Attack, FCT (Abuja)",8/8/2024,8/8/2024,1,FCT
IBD030412,"Boat Mishap, Jigawa",8/8/2024,8/8/2024,5,Jigawa
IBD030422,"Electrocution, Akwa Ibom",8/8/2024,8/8/2024,1,Akwa Ibom
IBD030425,"Man Dies, Delta",8/8/2024,8/8/2024,1,Delta
IBD030460,"Banditry, Kaduna",8/8/2024,8/8/2024,3,Kaduna
IBD030423,"Electrocution, Akwa Ibom",8/8/2024,8/8/2024,1,Akwa Ibom
IBD030421,"Banditry, Benue",8/8/2024,8/8/2024,50,Benue
IBD030426,"Gunmen Kill Hotelier, Kwara",8/8/2024,8/8/2024,1,Kwara
IBD030448,"Boko Haram Attack, Borno",8/8/2024,8/8/2024,2,Borno
IBD030458,"Communal Clash, Kwara",8/8/2024,8/8/2024,2,Kwara
IBD030418,"Vigilantes vs Bandits, Kaduna",8/8/2024,8/8/2024,9,Kaduna
IBD030491,"Police vs Kidnappers, Delta",8/8/2024,8/8/2024,1,Delta
IBD030431,"Auto Crash, Ogun",8/8/2024,8/8/2024,3,Ogun
IBD030413,"Boat Mishap, Bayelsa",7/8/2024,7/8/2024,20,Bayelsa
IBD030415,"Crossdresser Found Dead, FCT (Abuja)",7/8/2024,7/8/2024,1,FCT
IBD030407,"Banditry, Kaduna",7/8/2024,7/8/2024,6,Kaduna
IBD030419,"Cultist vs Man, Bayelsa",7/8/2024,7/8/2024,1,Bayelsa
IBD030414,"Generator Fume Kills 5, Abia",7/8/2024,7/8/2024,5,Abia
IBD030427,"Gunmen vs Woman, Plateau",7/8/2024,7/8/2024,1,Plateau
IBD030410,"Army vs Bandits, Kaduna",7/8/2024,7/8/2024,2,Kaduna
IBD030420,"Hoodlums vs Cyclist, FCT (Abuja)",7/8/2024,7/8/2024,1,FCT
IBD030400,"Protesters vs Security Operatives, Kaduna",6/8/2024,6/8/2024,1,Kaduna
IBD030444,"Security Operatives vs Man, Bauchi",6/8/2024,6/8/2024,1,Bauchi
IBD030411,"Auto Crash, Ogun",6/8/2024,6/8/2024,1,Ogun
IBD030409,"Army vs PDP Supporters, Bauchi",6/8/2024,6/8/2024,1,Bauchi
IBD030404,"Food Poisoning, Kogi",6/8/2024,6/8/2024,6,Kogi
IBD030401,"Cultists vs Barber, Ogun",5/8/2024,5/8/2024,1,Ogun
IBD030403,"Flood Disaster, Kebbi",5/8/2024,5/8/2024,2,Kebbi
IBD030402,"Food Poisoning, Kwara",5/8/2024,5/8/2024,4,Kwara
IBD030463,"Ex-Soldiers vs Tricycle Rider, Borno",5/8/2024,5/8/2024,1,Borno
IBD030481,"Man vs Son, Lagos",5/8/2024,5/8/2024,1,Lagos
IBD030408,"Assailants vs Motorcyclists, Ondo",5/8/2024,5/8/2024,2,Ondo
IBD030395,"Protesters vs Security Operatives, Bauchi",5/8/2024,5/8/2024,1,Bauchi
IBD030388,"Gunmen Kill Youth Leader, Kogi",5/8/2024,5/8/2024,1,Kogi
IBD030406,"Bandits Kill Man, Katsina",5/8/2024,5/8/2024,1,Katsina
IBD030756,"Ritual Killing, Kogi",4/8/2024,4/8/2024,1,Kogi
IBD030387,"Corpse Found Inside Well, Kwara",4/8/2024,4/8/2024,1,Kwara
IBD030398,"Soldiers vs Kidnappers, Kaduna",4/8/2024,4/8/2024,3,Kaduna
IBD030503,"Man vs Boy, Bauchi",4/8/2024,4/8/2024,1,Bauchi
IBD030405,"Herder vs Rustler, Benue",3/8/2024,3/8/2024,1,Benue
IBD030399,"Cult Clash, Delta",3/8/2024,4/8/2024,4,Delta
IBD030384,"Protesters vs Security Operatives, Kano",3/8/2024,3/8/2024,4,Kano
IBD030668,"Stray Bullet, Ebonyi",3/8/2024,3/8/2024,1,Ebonyi
IBD030396,"Protesters vs Security Operatives, Kano",3/8/2024,3/8/2024,8,Kano
IBD030466,"Boko Haram vs ISWAP, Borno",3/8/2024,3/8/2024,100,Borno
IBD030386,"Gunmen Kill 7, Imo",3/8/2024,3/8/2024,7,Imo
IBD030393,"Bandits Kill Farmers, Sokoto",2/8/2024,2/8/2024,8,Sokoto
IBD030389,"Baby Corpse, FCT (Abuja)",2/8/2024,2/8/2024,1,FCT
IBD030417,"Army vs Boko Haram, Borno",2/8/2024,2/8/2024,10,Borno
IBD030437,"Electrocution, Lagos",2/8/2024,2/8/2024,1,Lagos
IBD031787,"Political Crisis, Kano",1/8/2024,10/8/2024,10,Kano
IBD030371,"Protesters vs Security Operatives, Kano",1/8/2024,1/8/2024,1,Kano
IBD030390,"Banditary, Kaduna",1/8/2024,1/8/2024,1,Kaduna
IBD030366,"Protesters vs Security Operatives, Kaduna",1/8/2024,1/8/2024,3,Kaduna
IBD030464,"Food Poisoning, Gombe",1/8/2024,1/8/2024,1,Gombe
IBD030369,"Protesters vs Security Operatives, Jigawa",1/8/2024,1/8/2024,3,Jigawa
IBD030397,"Protesters vs Security Operatives, Niger",1/8/2024,1/8/2024,3,Niger
IBD030362,"Protesters vs Security Operatives, Niger",1/8/2024,1/8/2024,5,Niger
IBD030385,"Protesters vs Security Operatives, Katsina",1/8/2024,1/8/2024,1,Katsina
IBD030684,"Flood Disaster, Yobe",1/8/2024,31/08/2024,20,Yobe
IBD030367,"Protesters vs Security Operatives, Kebbi",1/8/2024,1/8/2024,1,Kebbi
IBD030364,"Protesters vs Security Operatives, Borno",1/8/2024,1/8/2024,4,Borno
IBD030374,"Boko Haram Suicide Attack, Borno",31/07/2024,31/07/2024,16,Borno
IBD030373,"Soldiers vs Bandits, Kaduna",31/07/2024,31/07/2024,2,Kaduna
IBD030428,"Boat Mishap, Rivers",30/07/2024,30/07/2024,1,Rivers
IBD030375,"One Killed, Lagos",30/07/2024,30/07/2024,1,Lagos
IBD030354,"Gunmen Attack, Imo",30/07/2024,30/07/2024,1,Imo
IBD030382,"Gunmen Attack, Imo",30/07/2024,30/07/2024,3,Imo
IBD030377,"Soldiers vs Bandit, Taraba",30/07/2024,30/07/2024,1,Taraba
IBD030352,"Gunmen Attack, Delta",30/07/2024,30/07/2024,2,Delta
IBD030358,"Soldiers Kill Bandit, Benue",30/07/2024,30/07/2024,1,Benue
IBD030379,"Hoodlums Clash, Gombe",30/07/2024,30/07/2024,3,Gombe
IBD030365,"Banditry, Sokoto",30/07/2024,30/07/2024,2,Sokoto
IBD030363,"Domestic Staff vs Boss, Lagos",30/07/2024,30/07/2024,1,Lagos
IBD030380,"Food Poisoning, Anambra",29/07/2024,29/07/2024,5,Anambra
IBD030360,"Domestic Violence, Niger",29/07/2024,29/07/2024,1,Niger
IBD030350,"Soldiers vs Gunmen, Abia",29/07/2024,29/07/2024,1,Abia
IBD030349,"Tiv Hoolums vs Farmer, Nasarawa",29/07/2024,29/07/2024,1,Nasarawa
IBD030359,"Boko Haram Explosion, Borno",29/07/2024,29/07/2024,1,Borno
IBD030355,"Auto Crash, Cross River",29/07/2024,29/07/2024,3,Cross River
IBD030353,"Domestic Violence, FCT (Abuja)",29/07/2024,29/07/2024,1,FCT
IBD030370,"Herder vs Farmer, FCT (Abuja)",29/07/2024,29/07/2024,1,FCT
IBD030368,"Auto Crash, Bauchi",29/07/2024,29/07/2024,4,Bauchi
IBD030346,"Gunmen vs Police, Imo",29/07/2024,29/07/2024,5,Imo
IBD030484,"Man Dies, Edo",29/07/2024,29/07/2024,1,Edo
IBD030342,"Army vs Boko Haram, Borno",28/07/2024,28/07/2024,8,Borno
IBD030394,"Inferno, Ogun",28/07/2024,28/07/2024,1,Ogun
IBD030356,"Cult Killings, Anambra",28/07/2024,29/07/2024,4,Anambra
IBD030348,"Hospital Negligence, FCT",28/07/2024,28/07/2024,1,FCT
IBD030333,"Boko Haram Attack, Borno",28/07/2024,28/07/2024,2,Borno
IBD030381,"Female Caterer Murdered, Ondo",28/07/2024,28/07/2024,1,Ondo
IBD030344,"Army vs Robbers, Ebonyi",28/07/2024,28/07/2024,1,Ebonyi
IBD030361,"Corpse Found, Kaduna",28/07/2024,28/07/2024,2,Kaduna
IBD030337,"Auto Crash, Ogun",28/07/2024,28/07/2024,1,Ogun
IBD030338,"Auto Crash, Ogun",28/07/2024,28/07/2024,1,Ogun
IBD030347,"Hunters vs Man, Taraba",27/07/2024,27/07/2024,4,Taraba
IBD030332,"Building Collapse, Jigawa",27/07/2024,27/07/2024,3,Jigawa
IBD030341,"Mob vs Armed Robber, Benue",27/07/2024,27/07/2024,1,Benue
IBD030343,"Police vs Bandits, Benue",27/07/2024,27/07/2024,6,Benue
IBD030331,"Explosion, Yobe",26/07/2024,26/07/2024,1,Yobe
IBD030336,"Female Undergraduate, Bauchi",26/07/2024,26/07/2024,1,Bauchi
IBD030325,"Auto Crash, Niger",25/07/2024,25/07/2024,1,Niger
IBD030320,"Vigilantes vs Kidnappers, Edo",25/07/2024,25/07/2024,1,Edo
IBD030339,"Gunmen Kill Officer, Kebbi",25/07/2024,25/07/2024,1,Kebbi
IBD030357,"Police vs Kidnappers, Delta",25/07/2024,25/07/2024,1,Delta
IBD030340,"Gunmen vs Vigilantes, Nasarawa",25/07/2024,25/07/2024,1,Nasarawa
IBD030345,"Hoodlums Kill Teacher, FCT (Abuja)",25/07/2024,25/07/2024,1,FCT
IBD030322,"Medical Negligence, Oyo",25/07/2024,25/07/2024,1,Oyo
IBD030310,"Building Collapse, Lagos",25/07/2024,25/07/2024,5,Lagos
IBD030318,"Auto Crash, Kogi",25/07/2024,25/07/2024,5,Kogi
IBD030317,"Security Operatives vs Bandits, Niger",24/07/2024,24/07/2024,65,Niger
IBD030335,"Building Collapse, Delta",24/07/2024,24/07/2024,1,Delta
IBD030321,"Gunmen Attack, Nasarawa",24/07/2024,24/07/2024,15,Nasarawa
IBD030323,"Gunmen Kill Man, Delta",24/07/2024,24/07/2024,1,Delta
IBD030314,"Chieftaincy Tittle, Osun",23/07/2024,23/07/2024,2,Osun
IBD030319,"Soldiers vs Bandits, Kaduna",23/07/2024,23/07/2024,2,Kaduna
IBD030316,"Auto Crash, Edo",23/07/2024,23/07/2024,1,Edo
IBD030328,"Army vs ISWAP/Boko Haram, Borno",23/07/2024,23/07/2024,13,Borno
IBD031229,"Robbery Gang Kills Man, Oyo",23/07/2024,23/07/2024,1,Oyo
IBD030311,"Corpse Found, Rivers",23/07/2024,23/07/2024,1,Rivers
IBD030392,"Kidnappers Kill 1, Ekiti",23/07/2024,23/07/2024,1,Ekiti
IBD030313,"Boat Mishap, Ebonyi",23/07/2024,23/07/2024,1,Ebonyi
IBD030297,"Auto Crash, Ondo",22/07/2024,22/07/2024,2,Ondo
IBD030334,"Man vs Grandpa, Osun",22/07/2024,22/07/2024,1,Osun
IBD030307,"Auto Crash, FCT (Abuja)",22/07/2024,22/07/2024,2,FCT
IBD030391,"Suitor vs Woman, Kano",22/07/2024,22/07/2024,1,Kano
IBD030295,"Businessman, Bayelsa",22/07/2024,22/07/2024,1,Bayelsa
IBD030302,"Woman Found Dead, Plateau",21/07/2024,21/07/2024,1,Plateau
IBD030306,"Thugs vs Man, Anambra",21/07/2024,21/07/2024,1,Anambra
IBD030299,"Man vs Friend, Adamawa",21/07/2024,21/07/2024,1,Adamawa
IBD030305,"Police vs Bandits, Benue",21/07/2024,21/07/2024,3,Benue
IBD030304,"Police vs Father, Borno",21/07/2024,21/07/2024,1,Borno
IBD030293,"Gunmen vs Student, Ondo",21/07/2024,21/07/2024,1,Ondo
IBD030291,"Gunmen Attack, Abia",21/07/2024,21/07/2024,6,Abia
IBD030326,"Land Dispute, Nasarawa",20/07/2024,20/07/2024,2,Nasarawa
IBD030188,"Auto Crash, Anambra",20/07/2024,20/07/2024,1,Anambra
IBD030282,"Kidnappers Kill 2, Ondo",20/07/2024,20/07/2024,2,Ondo
IBD030284,"Bandits Kill 18, Benue",19/07/2024,19/07/2024,18,Benue
IBD030286,"Man Kill friend, Kaduna",19/07/2024,19/07/2024,1,Kaduna
IBD030308,"Army vs Bandits, Kaduna",19/07/2024,19/07/2024,8,Kaduna
IBD030285,"Gunmen Kill Traditional Ruler, Taraba",19/07/2024,19/07/2024,2,Taraba
IBD030269,"Auto Crash, Kwara",18/07/2024,18/07/2024,2,Kwara
IBD030271,"Gunmen vs Policeman, Edo",18/07/2024,18/07/2024,1,Edo
IBD030315,"Flood Disaster, Ebonyi",18/07/2024,20/07/2024,1,Ebonyi
IBD030274,"Gunmen Kill Soldier, Plateau",17/07/2024,17/07/2024,1,Plateau
IBD030272,"Man vs Grandfather, Borno",17/07/2024,17/07/2024,1,Borno
IBD030273,"Woman vs Husband, Borno",17/07/2024,17/07/2024,1,Borno
IBD030309,"Witchcraft, Adamawa",17/07/2024,17/07/2024,3,Adamawa
IBD030327,"Gunmen Attack, Benue",17/07/2024,17/07/2024,6,Benue
IBD030260,"Inferno, Kano",17/07/2024,17/07/2024,3,Kano
IBD030378,"Kidnap VIctim, Ekiti",16/07/2024,16/07/2024,1,Ekiti
IBD030219,"Kidnappers vs Passenger, Ondo",16/07/2024,16/07/2024,2,Ondo
IBD030278,"Hunters vs Bandits, Kaduna",16/07/2024,16/07/2024,1,Kaduna
IBD030267,"Man Kills Rival, Delta",16/07/2024,16/07/2024,2,Delta
IBD030266,"Bandits Attack, Kaduna",16/07/2024,16/07/2024,1,Kaduna
IBD030301,"Banditry, Zamfara",16/07/2024,16/07/2024,11,Zamfara
IBD030265,"Bandits vs Chief, Kaduna",16/07/2024,16/07/2024,1,Kaduna
IBD030261,"Motorcyclist, Delta",16/07/2024,16/07/2024,1,Delta
IBD030275,"Brothers Drown, FCT (Abuja)",16/07/2024,16/07/2024,1,FCT
IBD030254,"Inferno In The Hotel, Edo",16/07/2024,16/07/2024,3,Edo
IBD030603,"Electrocution, Kwara",16/07/2024,16/07/2024,1,Kwara
IBD030433,"Cult Clash, Osun",15/07/2024,15/07/2024,8,Osun
IBD030257,"Herdsmen vs Rustler, FCT (Abuja)",15/07/2024,15/07/2024,1,FCT
IBD030279,"Assailant Kill 2, Osun",15/07/2024,15/07/2024,2,Osun
IBD030256,"Gunmen vs Farmer, Kaduna",15/07/2024,15/07/2024,1,Kaduna
IBD030300,"Banditry, Zamfara",15/07/2024,15/07/2024,10,Zamfara
IBD030258,"Youths vs Students, Bayelsa",15/07/2024,15/07/2024,1,Bayelsa
IBD030252,"Auto Crash, Jigawa",15/07/2024,15/07/2024,14,Jigawa
IBD030223,"Cult Clash, Edo",15/07/2024,15/07/2024,1,Edo
IBD030259,"Assailants vs Activist, Edo",14/07/2024,14/07/2024,1,Edo
IBD030247,"Herders Attack, Benue",14/07/2024,14/07/2024,11,Benue
IBD030249,"Auto Crash, FCT (Abuja)",14/07/2024,14/07/2024,2,FCT
IBD030251,"Banditry, Zamfara",14/07/2024,14/07/2024,13,Zamfara
IBD030264,"Piracy, Rivers (Offshore)",14/07/2024,14/07/2024,1,Rivers
IBD030248,"Herders Attack, Benue",14/07/2024,14/07/2024,1,Benue
IBD030245,"Man vs Neighbour's Wife, Edo",13/07/2024,13/07/2024,1,Edo
IBD030298,"Banditry, Zamfara",13/07/2024,13/07/2024,1,Zamfara
IBD030243,"Robbers vs Police, FCT (Abuja)",13/07/2024,13/07/2024,1,FCT
IBD030244,"Maize Farmer, Ogun",13/07/2024,13/07/2024,1,Ogun
IBD030238,"Kidnap Victims, Anambra",13/07/2024,13/07/2024,1,Anambra
IBD030246,"Auto Crash, Ogun",13/07/2024,13/07/2024,2,Ogun
IBD030263,"Hoodlums vs NDLEA Official, FCT (Abuja)",13/07/2024,13/07/2024,1,FCT
IBD030220,"Smugglers vs Customs Officer, Jigawa",12/7/2024,12/7/2024,1,Jigawa
IBD030233,"NAF VS Terrorists, Kaduna",12/7/2024,12/7/2024,20,Kaduna
IBD030216,"Witchcraft Suspect, Kwara",12/7/2024,12/7/2024,1,Kwara
IBD030235,"Armed Robber, Cross River",12/7/2024,12/7/2024,1,Cross River
IBD030277,"Hoodlums vs Vigilante, Lagos",12/7/2024,12/7/2024,1,Lagos
IBD030296,"Banditry, Zamfara",12/7/2024,12/7/2024,11,Zamfara
IBD030178,"Missing Student, Enugu",12/7/2024,12/7/2024,1,Enugu
IBD030189,"Robbers Kill Security Guard, Akwa Ibom",12/7/2024,12/7/2024,1,Akwa Ibom
IBD030439,"Cult Killing, Anambra",12/7/2024,12/7/2024,3,Anambra
IBD030221,"Building Collapse, Plateau",12/7/2024,12/7/2024,19,Plateau
IBD030255,Building Collapse FCT (Abuja),12/7/2024,13/07/2024,1,FCT
IBD030232,"NAF VS Terrorists, Kaduna",12/7/2024,12/7/2024,20,Kaduna
IBD030312,"Man vs Commercial Motorcyclist, Akwa Ibom",11/7/2024,11/7/2024,1,Akwa Ibom
IBD030222,"Dead Corpse, Lagos",11/7/2024,11/7/2024,1,Lagos
IBD030241,"Guardian vs Boy, Lagos",11/7/2024,11/7/2024,1,Lagos
IBD030214,"Miners, Niger",10/7/2024,10/7/2024,12,Niger
IBD030434,"Cult Clash, Lagos",10/7/2024,10/7/2024,1,Lagos
IBD030213,"Gunmen vs Vigilante, Rivers",10/7/2024,10/7/2024,1,Rivers
IBD030212,"Assailants vs Student, Enugu",10/7/2024,10/7/2024,1,Enugu
IBD030262,"Gunrunners vs Police, Plateau",10/7/2024,10/7/2024,1,Plateau
IBD030217,"Bandits Kill Farmers, Kaduna",10/7/2024,10/7/2024,2,Kaduna
IBD030250,"Gunmen Attack, Benue",10/7/2024,11/7/2024,5,Benue
IBD030324,"Man vs NDLEA Officer, Kano",10/7/2024,10/7/2024,1,Kano
IBD030205,"Herdsmen vs Farmer, Delta",9/7/2024,9/7/2024,1,Delta
IBD030209,"Herdsmen Attack, Benue",9/7/2024,9/7/2024,12,Benue
IBD030208,"Army vs Terrorist, Katsina",9/7/2024,9/7/2024,1,Katsina
IBD030330,"Ritual Killing, Osun",9/7/2024,9/7/2024,1,Osun
IBD030276,"Man vs Girlfriend, Lagos",9/7/2024,9/7/2024,1,Lagos
IBD030303,"3 Men Kill Labourer, Kwara",9/7/2024,9/7/2024,1,Kwara
IBD030199,"Auto Crash, Anambra",9/7/2024,9/7/2024,5,Anambra
IBD030206,"Man vs Mother, Delta",9/7/2024,9/7/2024,1,Delta
IBD030180,"Downpour Kills 4, Edo",8/7/2024,8/7/2024,4,Edo
IBD030201,"Police vs Kidnapper, Delta",8/7/2024,8/7/2024,1,Delta
IBD030203,"Assailant vs Man, Edo",8/7/2024,8/7/2024,1,Edo
IBD030242,"Soldiers vs Boko Haram, Borno",8/7/2024,8/7/2024,2,Borno
IBD030253,"Auto Crash, Ogun",8/7/2024,8/7/2024,2,Ogun
IBD030198,"Banditry, Plateau",8/7/2024,8/7/2024,3,Plateau
IBD030294,"Banditry, Zamfara",8/7/2024,8/7/2024,1,Zamfara
IBD030191,"Auto Crash, Lagos",8/7/2024,8/7/2024,1,Lagos
IBD030185,"Gunmen Kill 4, Imo",8/7/2024,8/7/2024,4,Imo
IBD030207,"Army vs Kidnapper, Taraba",8/7/2024,8/7/2024,1,Taraba
IBD030182,"Cult Killing, Akwa Ibom",7/7/2024,7/7/2024,1,Akwa Ibom
IBD030186,"Cult Killing, Anambra",7/7/2024,7/7/2024,1,Anambra
IBD030183,"Boat Mishap, Jigawa",7/7/2024,7/7/2024,2,Jigawa
IBD030204,"Bandits Kill 2, Kaduna",7/7/2024,7/7/2024,3,Kaduna
IBD030290,"Man vs Online Girlfriend, Oyo",7/7/2024,7/7/2024,1,Oyo
IBD030435,"Cult Clash, Lagos",7/7/2024,7/7/2024,9,Lagos
IBD030181,"Security Operatives vs Man, Abia",7/7/2024,7/7/2024,1,Abia
IBD030184,"Cult Killing, Anambra",7/7/2024,7/7/2024,1,Anambra
IBD030202,"Cult Clash, Oyo",7/7/2024,7/7/2024,1,Oyo
IBD030438,"Cult Clash, Rivers",7/7/2024,7/7/2024,7,Rivers
IBD030289,"IPOB/ESN vs Vigilante, Imo",7/7/2024,7/7/2024,4,Imo
IBD030179,"Cult Killing, Lagos",7/7/2024,7/7/2024,2,Lagos
IBD030197,"Hoodlums vs Man, Edo",7/7/2024,7/7/2024,6,Edo
IBD030195,"Tractor Driver, Yobe",7/7/2024,7/7/2024,1,Yobe
IBD030187,"Cult Killing, Imo",7/7/2024,7/7/2024,4,Imo
IBD030190,"Man kills Woman, Bauchi",7/7/2024,7/7/2024,1,Bauchi
IBD030436,"Cult Killing, Lagos",6/7/2024,6/7/2024,3,Lagos
IBD030175,"Engine Roller Kill Worker, Ogun",6/7/2024,6/7/2024,1,Ogun
IBD030177,"Youths vs Kidnappers, Kwara",6/7/2024,6/7/2024,2,Kwara
IBD030170,"Gas Explosion, Ogun",6/7/2024,6/7/2024,2,Ogun
IBD030176,"Gunmen Kill 3, Benue",6/7/2024,6/7/2024,3,Benue
IBD030268,"Hoodlums vs Man, Lagos",6/7/2024,6/7/2024,1,Lagos
IBD030174,"Extra Judicial Killing, Ogun",6/7/2024,6/7/2024,1,Ogun
IBD030194,"Domestic Violence, FCT (Abuja)",6/7/2024,6/7/2024,1,FCT
IBD030167,"Robbers Kill Woman, Ekiti",6/7/2024,6/7/2024,1,Ekiti
IBD030171,"Boko Haram vs Army, Borno",6/7/2024,6/7/2024,11,Borno
IBD030192,"Banditry, Katsina",6/7/2024,6/7/2024,1,Katsina
IBD030218,"Huter vs Trader, Kwara",5/7/2024,5/7/2024,1,Kwara
IBD030270,"Man vs Apprentice, Lagos",5/7/2024,5/7/2024,1,Lagos
IBD030173,"Police vs Kidnappers, Delta",5/7/2024,5/7/2024,1,Delta
IBD030166,"Man vs Friend, Osun",4/7/2024,4/7/2024,2,Osun
IBD030165,"Kidnappers vs Police, Lagos",4/7/2024,4/7/2024,9,Lagos
IBD030196,"Corpse Found, FCT (Abuja)",4/7/2024,4/7/2024,1,FCT
IBD030155,"Cultists vs Final Year Student, Ogun",4/7/2024,4/7/2024,1,Ogun
IBD030292,"Robbers vs Man, Oyo",4/7/2024,4/7/2024,2,Oyo
IBD030200,"Bandits vs Army, Kaduna",4/7/2024,4/7/2024,5,Kaduna
IBD030162,"Building Collapse, Anambra",4/7/2024,4/7/2024,8,Anambra
IBD030159,"Student Stabs Colleague, Gombe",3/7/2024,3/7/2024,1,Gombe
IBD030149,"Flooding, Lagos",3/7/2024,3/7/2024,1,Lagos
IBD030144,"Man vs Father, Delta",3/7/2024,3/7/2024,1,Delta
IBD030156,"Building Collapse, Lagos",3/7/2024,3/7/2024,1,Lagos
IBD030164,"Assailants vs Ex-convict, Ogun",3/7/2024,3/7/2024,1,Ogun
IBD030150,"Community Leader, Delta",3/7/2024,3/7/2024,1,Delta
IBD030145,"Auto Crash, Oyo",3/7/2024,3/7/2024,1,Oyo
IBD030157,"Army vs Boko Haram, Borno",3/7/2024,3/7/2024,10,Borno
IBD030940,"Assailant vs Lady, Ogun",3/7/2024,3/7/2024,1,Ogun
IBD030147,"Farmers vs Herders, Jigawa",2/7/2024,2/7/2024,2,Jigawa
IBD030141,"Banditry, Kaduna",2/7/2024,2/7/2024,1,Kaduna
IBD030224,"Domestic Violence, Kebbi",2/7/2024,2/7/2024,1,Kebbi
IBD030139,"Kidnap Victim, Kaduna",2/7/2024,2/7/2024,1,Kaduna
IBD030135,"Bandits Kill Lecturer, Katsina",2/7/2024,2/7/2024,1,Katsina
IBD030161,"Soldiers Kill 2 Terrorists, Kaduna",2/7/2024,2/7/2024,2,Kaduna
IBD030153,"Fulani Herders Attack, Benue",1/7/2024,1/7/2024,2,Benue
IBD030136,"Work-Related Violence, Oyo",1/7/2024,1/7/2024,1,Oyo
IBD030143,"Cult Clash, Benue",1/7/2024,1/7/2024,9,Benue
IBD030133,"Banditry, Kaduna",1/7/2024,1/7/2024,4,Kaduna
IBD030134,"Auto Crash, Ogun",1/7/2024,1/7/2024,2,Ogun
IBD030123,"Auto Crash, Kano",1/7/2024,1/7/2024,25,Kano
IBD030154,"Gunmen Attack, Benue",1/7/2024,1/7/2024,1,Benue
IBD030138,"Kidnap Victim, Katsina",1/7/2024,1/7/2024,5,Katsina
IBD030152,"Gunmen Attack, Benue",1/7/2024,1/7/2024,3,Benue
IBD031964,"Farmer vs Herder, Adamawa",30/06/2024,30/06/2024,1,Adamawa
IBD030118,"Auto Crash, FCT (Abuja)",30/06/2024,30/06/2024,11,FCT
IBD030114,"Boy Kill Friend, Niger",30/06/2024,30/06/2024,1,Niger
IBD030146,"Police vs Kidnappers, Ogun",30/06/2024,30/06/2024,2,Ogun
IBD030113,"Bandits vs Policemen, Katsina",30/06/2024,30/06/2024,5,Katsina
IBD030129,"Auto Crash, Ogun",30/06/2024,30/06/2024,1,Ogun
IBD030119,"Flooding, Yobe",30/06/2024,30/06/2024,3,Yobe
IBD030127,"Police vs Bandits, Benue",30/06/2024,30/06/2024,2,Benue
IBD030115,"Auto Crash, Niger",30/06/2024,30/06/2024,2,Niger
IBD030116,"Police vs Kidnappers, Akwa Ibom",30/06/2024,30/06/2024,2,Akwa Ibom
IBD030137,"Auto Crash, Borno",30/06/2024,30/06/2024,1,Borno
IBD030121,"Banditry, FCT (Abuja)",30/06/2024,30/06/2024,1,FCT
IBD030111,"Drug Addict, Oyo",29/06/2024,29/06/2024,1,Oyo
